hero_id,nerf/buff,attribute,strength,intelligence,agility,strength_gain,intellicene_gain,agility_gain,attack_range,base_attack_time,movement_speed,armor,damage_lower,damage_upper,damage_average,missile_speed,cast_duration_before,cast_duration_after,hp_regen,mp_regen,magic_resistance,day_vision,night_vision,turn_rate
npc_dota_hero_antimage,NA,agi,22.0,15,22.0,1.2,1.8,3.2,150.0,1.45,320.0,-1.0,27.0,31.0,29.0,0.0,0.3,0.47,1.75,0.9,25.0,1800.0,800.0,0.5
npc_dota_hero_arc_warden,NA,agi,24.0,24.0,15.0,1.9,2.1,2.1,625.0,1.7,290.0,-2.0,25.0,35.0,30.0,900.0,0.3,0.51,1.75,0.9,25.0,1800.0,800.0,0.4
npc_dota_hero_bloodseeker,Nerf,agi,23.0,18.0,24.0,2,1.7,3.5,150.0,1.7,300.0,0.0,29.0,35.0,32.0,0.0,0.6,1.5,0.25,0.9,25.0,1800.0,800.0,0.5
npc_dota_hero_bounty_hunter,Buff,agi,17,19.0,21.0,1.8,2.0,3,150.0,1.7,315,3.0,24.0,38.0,31.0,0.0,0.3,0.51,0.75,0.9,25.0,1800.0,1000.0,0.6
npc_dota_hero_broodmother,Buff,agi,17.0,18.0,18,2.5,2.0,2.5,150.0,1.7,280.0,0.0,26.0,32.0,29.0,0.0,0.2,0.51,0.25,0.9,25.0,1800.0,800.0,0.5
npc_dota_hero_clinkz,Buff,agi,15,16,22.0,1.5999999999999999,1.55,3,630,1.7,310.0,-1.0,15.0,21.0,18.0,900.0,0.5,0.51,1.75,0.9,25.0,1800.0,800.0,0.4
npc_dota_hero_drow_ranger,Buff,agi,17.0,15.0,26,1.9,1.4,1.9,625.0,1.7,305.0,-3.0,25.0,36.0,30.5,1250.0,0.4,0.5,1.75,0.9,25.0,1800.0,800.0,0.6
npc_dota_hero_ember_spirit,NA,agi,19,20.0,22.0,2,1.8,2.1,150.0,1.7,315.0,-2,27.0,31.0,29.0,0.0,0.0,0.51,0.75,0.9,25.0,1800.0,800.0,0.5
npc_dota_hero_faceless_void,NA,agi,23.0,15.0,23.0,1.8,1.5,2.65,150.0,1.7,310.0,1.0,37.0,43.0,40.0,0.0,0.35,0.51,0.75,0.9,25.0,1800.0,800.0,1
npc_dota_hero_gyrocopter,Nerf,agi,21.0,19.0,24,1.8,2.1,2.8,365.0,1.7,315,2.0,22.0,32.0,27.0,3000.0,0.3,0.5,0.25,0.9,25.0,1800.0,800.0,0.6
npc_dota_hero_juggernaut,NA,agi,20.0,14.0,26.0,1.9000000000000001,1.4,2.4,150.0,1.4,315.0,1.0,24.0,28.0,26.0,0.0,0.3,0.51,0.75,0.9,25.0,1800.0,800.0,0.6
npc_dota_hero_lone_druid,Buff,agi,17.0,13.0,24,2.1,1.4,2.7,550.0,1.7,330,2.0,22.0,26.0,24.0,900.0,0.5,1.17,0.5,0.9,25.0,1800.0,800.0,0.4
npc_dota_hero_luna,Buff,agi,15.0,16.0,18.0,1.9,1.9,2.8,330.0,1.7,330,1.0,26.0,32.0,29.0,900.0,0.6,0.4,0.25,0.9,25.0,1800.0,800.0,0.4
npc_dota_hero_medusa,Buff,agi,14.0,19.0,20,1.65,1.85,2.5,600.0,1.7,295,-1.0,24.0,30.0,27.0,1200.0,0.4,0.5,0.25,0.9,25.0,1800.0,800.0,0.5
npc_dota_hero_meepo,Nerf,agi,23.0,20.0,23,1.3,1.6,1.9,150.0,1.7,320,1,16.0,22.0,19.0,0.0,0.5,0.5,1.75,0.9,25.0,1800.0,800.0,0.6
npc_dota_hero_mirana,Buff,agi,17.0,17,20,1.9000000000000001,1.7,2.75,600,1.7,305.0,-1.0,22.0,27.0,24.5,900.0,0.5,0.83,0.25,0.9,25.0,1800.0,800.0,0.5
npc_dota_hero_monkey_king,NoHero,agi,18.0,20.0,22.0,2.2,1.8,3.7,300.0,1.7,310.0,0,30.0,36.0,33.0,0.0,0.0,0.0,0.75,0.9,25.0,1800.0,800.0,0.6
npc_dota_hero_morphling,Buff,agi,19.0,17,24.0,1.9999999999999998,1.1,3,350.0,1.6,290.0,-2.0,13.0,22.0,17.5,1300.0,0.25,0.51,0.25,0.9,25.0,1800.0,800.0,0.6
npc_dota_hero_naga_siren,Buff,agi,21.0,18,21.0,2.3,1.95,2.75,150.0,1.7,325.0,3.0,23.0,25.0,24.0,0.0,0.65,0.7,0.5,0.9,25.0,1800.0,800.0,0.5
npc_dota_hero_nevermore,NA,agi,13.0,18.0,20.0,1.9999999999999998,2.0,3.3,500.0,1.7,305,-1.0,15.0,21.0,18.0,1200.0,0.67,0.4,0.5,0.9,25.0,1800.0,800.0,1
npc_dota_hero_nyx_assassin,Buff,agi,18.0,18.0,19.0,2.2,2.1,2.5,150.0,1.7,315.0,1.0,23.0,27.0,25.0,0.0,0.4,1.1,1.75,0.9,25.0,1800.0,800.0,0.5
npc_dota_hero_pangolier,NoHero,agi,16.0,16.0,18.0,2.2,1.9,3.2,150.0,1.7,315.0,1.0,29.0,35.0,32.0,0.0,0.0,0.51,0.5,0.9,25.0,1800.0,800.0,1
npc_dota_hero_phantom_assassin,NA,agi,20.0,13,23.0,1.9000000000000001,1,3.7,150.0,1.7,315,1.0,23.0,25.0,24.0,0.0,0.3,0.5,1.75,0.9,25.0,1800.0,800.0,0.6
npc_dota_hero_phantom_lancer,NA,agi,18.0,23.0,29.0,1.7,2.0,3,150.0,1.7,300.0,0.0,25.0,47.0,36.0,0.0,0.3,0.51,0.5,0.9,25.0,1800.0,800.0,0.6
npc_dota_hero_razor,NA,agi,21.0,19,22.0,2.3000000000000003,1.8,2,475.0,1.7,300.0,-1.0,23.0,25.0,24.0,2000.0,0.5,0.125,0.25,0.9,25.0,1800.0,800.0,0.4
npc_dota_hero_riki,Buff,agi,17.0,14.0,34,2,1.3,2.9,150.0,1.7,290,1,0.0,4.0,2.0,0.0,0.4,0.51,3.25,0.9,25.0,1800.0,800.0,0.6
npc_dota_hero_slark,NA,agi,21,16.0,21.0,1.8,1.9,1.7,150.0,1.7,305,-1.0,33.0,41.0,37.0,0.0,0.0,0.51,1.75,0.9,25.0,1800.0,1800.0,0.5
npc_dota_hero_sniper,Nerf,agi,16,15.0,21.0,1.7,2.6,2.5,550.0,1.7,295.0,-1.0,15.0,21.0,18.0,3000.0,0.3,0.51,0.25,0.9,25.0,1800.0,1000,0.6
npc_dota_hero_spectre,Buff,agi,19,16.0,23.0,1.9999999999999998,1.9,2.2,150.0,1.7,300.0,0.0,23.0,27.0,25.0,0.0,0.3,0.51,0.25,0.9,25.0,1800.0,800.0,0.4
npc_dota_hero_templar_assassin,Buff,agi,18.0,20.0,23.0,2.1,2.0,2.7,140.0,1.7,310,1.0,30.0,36.0,33.0,900.0,0.3,0.51,2.0,0.9,25.0,1800.0,800.0,0.7
npc_dota_hero_terrorblade,Buff,agi,15,19.0,22.0,1.4,1.75,3.2,150.0,1.5,320.0,4,26.0,32.0,29.0,0.0,0.5,0.51,2.0,0.9,25.0,1800.0,800.0,0.5
npc_dota_hero_troll_warlord,Nerf,agi,17,13.0,21.0,2.2,1.0,2.75,500.0,1.7,300.0,-1.0,38,56,47.0,1200.0,0.2,0.3,1.75,0.9,25.0,1800.0,800.0,0.5
npc_dota_hero_ursa,Nerf,agi,23.0,16.0,18.0,2.9,1.5,2.4,150.0,1.7,320,3,27.0,31.0,29.0,0.0,0.3,0.0,0.25,0.9,25.0,1800.0,800.0,0.5
