hero_id,id_num,nerf_buff,attribute,str,int,agi,str_gain,intel_gain,agi_gain,attack_range,base_attack_time,movement_speed,armor,damage_lower,damage_upper,missile_speed,cast_duration_before,cast_duration_after,hp_regen,mp_regen,magic_res,day_vision,night_vision,turn_rate,damage_avg,str_25,int_25,agi_25
npc_dota_hero_antimage,1.0,NA,agi,22.0,15,22.0,1.2,1.8,2.8,150.0,1.45,320.0,-1.0,27.0,31.0,0.0,0.3,0.47,1.75,0.9,25.0,1800.0,800.0,0.5,29.0,54.0,55.0,89.0
npc_dota_hero_arc_warden,113.0,Nerf,agi,24.0,24.0,15.0,1.9,2.1,1.8,625.0,1.7,290.0,-2.0,25.0,35.0,900.0,0.3,0.51,1.75,0.9,25.0,1800.0,800.0,0.4,30.0,97.0,86.0,58.0
npc_dota_hero_bloodseeker,4.0,Buff,agi,23.0,18.0,24.0,2,1.7,3.0,150.0,1.7,295.0,0.0,29.0,35.0,0.0,0.6,1.5,1.75,0.9,25.0,1800.0,800.0,0.5,32.0,88.0,58.0,96.0
npc_dota_hero_bounty_hunter,62.0,Buff,agi,17.0,19.0,21.0,1.8,2.0,3.0,150.0,1.7,315,3.0,24.0,38.0,0.0,0.3,0.51,0.75,0.9,25.0,1800.0,1000.0,0.6,31.0,68.0,67.0,93.0
npc_dota_hero_broodmother,61.0,Nerf,agi,17.0,18.0,18,2.5,2.0,2.2,150.0,1.7,280.0,0.0,26.0,32.0,0.0,0.2,0.51,1.75,0.9,25.0,1800.0,800.0,0.5,29.0,85.0,66.0,67.0
npc_dota_hero_clinkz,56.0,Buff,agi,15,16,22.0,1.5999999999999999,1.55,3.3,630,1.7,305.0,-1.0,15.0,21.0,900.0,0.5,0.51,1.75,0.9,25.0,1800.0,800.0,0.4,18.0,57.0,58.0,84.0
npc_dota_hero_drow_ranger,6.0,Buff,agi,17.0,15.0,26,1.9,1.4,1.9,625.0,1.7,305.0,-3.0,25.0,36.0,1250.0,0.4,0.5,1.75,0.9,25.0,1800.0,800.0,0.6,30.5,62.0,48.0,71.0
npc_dota_hero_ember_spirit,105.0,Nerf,agi,19.0,20.0,22.0,2,1.8,1.8,150.0,1.7,315.0,-2,30.0,34.0,0.0,0.0,0.51,0.75,0.9,25.0,1800.0,800.0,0.5,32.0,77.0,63.0,65.0
npc_dota_hero_faceless_void,41.0,Buff,agi,23.0,15.0,23.0,1.8,1.5,2.65,150.0,1.7,305.0,1.0,37.0,43.0,0.0,0.35,0.51,0.75,0.9,25.0,1800.0,800.0,1,40.0,74.0,51.0,90.0
npc_dota_hero_gyrocopter,72.0,Nerf,agi,18.0,19.0,24,1.8,2.1,2.8,365.0,1.7,315,2.0,22.0,32.0,3000.0,0.3,0.5,1.75,0.9,25.0,1800.0,800.0,0.6,27.0,69.0,69.0,86.0
npc_dota_hero_juggernaut,8.0,NA,agi,20.0,14.0,26.0,1.9000000000000001,1.4,2.4,150.0,1.4,310.0,0.0,24.0,28.0,0.0,0.3,0.51,0.75,0.9,25.0,1800.0,800.0,0.6,26.0,73.0,47.0,83.0
npc_dota_hero_lone_druid,80.0,Buff,agi,17.0,13.0,24.0,2.1,1.4,2.7,550.0,1.7,330.0,0.0,22.0,26.0,900.0,0.5,1.17,2.0,0.9,25.0,1800.0,800.0,0.4,24.0,75.0,46.0,88.0
npc_dota_hero_luna,48.0,Buff,agi,15.0,16.0,18.0,2.2,1.85,2.8,330.0,1.7,330,1.0,26.0,32.0,900.0,0.6,0.4,1.75,0.9,25.0,1800.0,800.0,0.6,29.0,68.0,60.0,97.0
